18527,"ARCHWAY Home Style Cookies, Date Filled Oatmeal",400,4.67,68.16
18528,"ARCHWAY Home Style Cookies, Dutch Cocoa",431,4.5,69.44
18529,"ARCHWAY Home Style Cookies, Frosty Lemon",430,4.41,64.78
18532,"ARCHWAY Home Style Cookies, Iced Molasses",420,3.5,69.12
18533,"ARCHWAY Home Style Cookies, Iced Oatmeal",435,4.89,66.76
18535,"ARCHWAY Home Style Cookies, Molasses",403,4.25,69.41
18537,"ARCHWAY Home Style Cookies, Oatmeal",421,5.48,68.17
18538,"ARCHWAY Home Style Cookies, Oatmeal Raisin",406,5.17,69.27
18539,"ARCHWAY Home Style Cookies, Old Fashioned Molasses",406,4.27,70.55
18540,"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",468,5.17,72.23
18541,"ARCHWAY Home Style Cookies, Peanut Butter",480,9,58.48
18544,"ARCHWAY Home Style Cookies, Raspberry Filled",400,4.35,65.92
18562,"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",424,4.67,76.23
18547,"ARCHWAY Home Style Cookies, Strawberry Filled",400,4.35,65.92
18513,"ARCHWAY Home Style Cookies, Sugar Free Oatmeal",442,5.54,67.2
20003,Arrowroot flour,357,0.3,88.15
18566,"Artificial Blueberry Muffin Mix, dry",407,4.7,77.45
18984,"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type",494,7.5,60
18987,"AUSTIN, Cheddar Cheese on Cheese Crackers, sandwich-type, reduced fat",461,7.8,68
28258,"AUSTIN, Cheddar Cheese on Wafer Crackers, sandwich-type",489,7.8,62.6
18983,"AUSTIN, Cheddar Cheese on Wheat Crackers, sandwich-type",495,7.9,61.4
18985,"AUSTIN, Chocolatey Peanut Butter Crackers, sandwich-type",479,7.7,66.2
18986,"AUSTIN, Grilled Cheese on Wafer Crackers, sandwich-type",493,7.9,62
18990,"AUSTIN, PB  &  J Crackers, sandwich-type",484,7.6,65.7
28256,"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type",492,10.8,59
18988,"AUSTIN, Peanut Butter on Cheese Crackers, sandwich-type, reduced fat",461,9.7,66.3
28257,"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type",489,10.6,60.2
18989,"AUSTIN, Peanut Butter on Toasty Crackers, sandwich-type, reduced fat",463,9.5,67.2
42150,"Babyfood, apple yogurt dessert, strained",96,0.8,19.5
3167,"Babyfood, apple-banana juice",51,0.2,12.3
3169,"Babyfood, apple-cranberry juice",46,0,11.49
3289,"Babyfood, apples with ham, strained",62,2.6,10.9
3115,"Babyfood, apples, dices, toddler",51,0.2,12.1
3997,"Babyfood, Baby MUM MUM Rice Biscuits",391,12.5,83.21
42284,"Babyfood, baked product, finger snacks cereal fortified",421,6.4,76.68
43550,"Babyfood, banana apple dessert, strained",68,0.3,16.3
42119,"Babyfood, banana juice with low fat yogurt",89,2.5,17.54
43546,"Babyfood, banana no tapioca, strained",91,1,21.34
3995,"Babyfood, banana with mixed berries, strained",92,1.01,21.31
3301,"Babyfood, beverage, GERBER GRADUATE FRUIT SPLASHERS",31,0,7.4
3290,"Babyfood, carrots and beef, strained",59,3.4,5.7
42316,"Babyfood, carrots, toddler",26,0.6,5.23
3181,"Babyfood, cereal, barley, dry fortified",376,13.2,69.4
3681,"Babyfood, cereal, barley, prepared with whole milk",84,3.73,9.94
42285,"Babyfood, cereal, brown rice, dry, instant",406,8.7,85.98
3201,"Babyfood, cereal, egg yolks and bacon, junior",79,2.5,6.2
3682,"Babyfood, cereal, high protein, prepared with whole milk",111,8.7,11.6
3211,"Babyfood, cereal, high protein, with apple and orange, dry",374,25.4,57.6
3711,"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",112,6.9,13.4
3185,"Babyfood, cereal, mixed, dry fortified",399,6.66,78.21
3685,"Babyfood, cereal, mixed, prepared with whole milk",96,4.14,12.3
3188,"Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",84,0.71,18.79
3187,"Babyfood, cereal, mixed, with applesauce and bananas, strained",82,0.71,18.38
3186,"Babyfood, cereal, mixed, with bananas, dry",391,10.7,77.1
3686,"Babyfood, cereal, mixed, with bananas, prepared with whole milk",86,3.82,10
3704,"Babyfood, cereal, mixed, with honey, prepared with whole milk",115,5,15.9
3189,"Babyfood, cereal, oatmeal, dry fortified",394,10.99,73.48
3689,"Babyfood, cereal, oatmeal, prepared with whole milk",116,5,15.3
3192,"Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",76,0.89,16.03
3191,"Babyfood, cereal, oatmeal, with applesauce and bananas, strained",75,0.89,15.62
3190,"Babyfood, cereal, oatmeal, with bananas, dry",399,6.67,78.07
3690,"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",86,3.82,10
3193,"Babyfood, cereal, oatmeal, with honey, dry",391,13.5,69.3
3693,"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",115,5,15.3
43544,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",389,6.6,88.5
3194,"Babyfood, cereal, Rice, dry, fortified",390,6.65,83.14
3694,"Babyfood, cereal, rice, prepared with whole milk",85,3.45,10.31
3195,"Babyfood, cereal, rice, with applesauce and bananas, strained",80,1.2,17.1
3212,"Babyfood, cereal, rice, with bananas, dry",404,8.7,79.9
3712,"Babyfood, cereal, rice, with bananas, prepared with whole milk",86,3.57,10.49
3696,"Babyfood, cereal, rice, with honey, prepared with whole milk",115,3.9,17.1
3184,"Babyfood, cereal, whole wheat, with apples, dry fortified",402,6.6,83.2
3198,"Babyfood, cereal, with egg yolks, junior",52,1.9,7.1
3197,"Babyfood, cereal, with egg yolks, strained",51,1.9,7
3199,"Babyfood, cereal, with eggs, strained",58,2.2,8
3222,"Babyfood, cherry cobbler, junior",78,0.3,19.2
3206,"Babyfood, cookie, baby, fruit",435,6.8,73.7
3213,"Babyfood, cookies",433,11.8,67.1
3214,"Babyfood, cookies, arrowroot",424,7.6,75.4
3934,"Babyfood, corn and sweet potatoes, strained",68,1.26,15.23
3209,"Babyfood, crackers, vegetable",477,8.4,66.85
43004,"Babyfood, dessert, banana pudding, strained",68,1,14.14
43539,"Babyfood, dessert, banana yogurt, strained",78,1.1,17.35
43537,"Babyfood, dessert, blueberry yogurt, strained",77,0.5,17.05
3225,"Babyfood, dessert, cherry vanilla pudding, junior",69,0.2,18.4
3224,"Babyfood, dessert, cherry vanilla pudding, strained",68,0.2,17.8
3246,"Babyfood, dessert, custard pudding, vanilla, junior",86,1.76,17.58
3245,"Babyfood, dessert, custard pudding, vanilla, strained",85,1.6,16
3221,"Babyfood, dessert, dutch apple, junior",79,0.2,19.18
3220,"Babyfood, dessert, dutch apple, strained",75,0.2,19.74
3236,"Babyfood, dessert, fruit dessert, without ascorbic acid, junior",63,0.3,17.2
3235,"Babyfood, dessert, fruit dessert, without ascorbic acid, strained",59,0.3,16
3226,"Babyfood, dessert, fruit pudding, orange, strained",80,1.1,17.7
3233,"Babyfood, dessert, fruit pudding, pineapple, strained",81,1.3,20.3
3228,"Babyfood, dessert, peach cobbler, junior",67,0.3,18.3
3227,"Babyfood, dessert, peach cobbler, strained",65,0.3,17.8
3230,"Babyfood, dessert, peach melba, junior",60,0.3,16.4
3229,"Babyfood, dessert, peach melba, strained",60,0.2,16.5
43536,"Babyfood, dessert, peach yogurt",76,0.9,17.6
3238,"Babyfood, dessert, tropical fruit, junior",60,0.2,16.4
3297,"Babyfood, dinner, apples and chicken, strained",65,2.16,10.88
3049,"Babyfood, dinner, beef and rice, toddler",82,5,8.8
3043,"Babyfood, dinner, beef lasagna, toddler",77,4.2,10
3287,"Babyfood, dinner, beef noodle, junior",57,2.5,7.3
3047,"Babyfood, dinner, beef noodle, strained",63,2.44,8.18
3052,"Babyfood, dinner, beef stew, toddler",51,5.1,5.5
3055,"Babyfood, dinner, beef with vegetables",96,2.03,6.36
3298,"Babyfood, dinner, broccoli and chicken, junior",62,3.59,6.34
43373,"Babyfood, dinner, chicken and noodle with vegetables, toddler",66,3.8,8.89
43008,"Babyfood, dinner, chicken and rice",51,1.6,9.2
3069,"Babyfood, dinner, chicken noodle, junior",55,2.37,8.79
3068,"Babyfood, dinner, chicken noodle, strained",66,2.69,9.08
3070,"Babyfood, dinner, chicken soup, strained",50,1.6,7.2
3072,"Babyfood, dinner, chicken stew, toddler",78,5.2,6.4
3090,"Babyfood, dinner, macaroni and cheese, junior",61,2.6,8.2
3089,"Babyfood, dinner, macaroni and cheese, strained",67,3.14,8.95
3045,"Babyfood, dinner, macaroni and tomato and beef, junior",59,2.5,9.4
3044,"Babyfood, dinner, macaroni and tomato and beef, strained",61,2.36,9.45
